sampleID	group	group_label
BM_36_487_quant.sf	-1	ctrl
BM_36_417_quant.sf	-1	ctrl
BM_36_390_quant.sf	1	exp
BM_36_369_quant.sf	-1	ctrl
BM_36_516_quant.sf	1	exp
BM_36_290_quant.sf	1	exp
BM_36_435_quant.sf	-1	ctrl
BM_36_458_quant.sf	-1	ctrl
BM_36_346_quant.sf	-1	ctrl
BM_36_440_quant.sf	-1	ctrl
BM_36_397_quant.sf	-1	ctrl
BM_36_335_quant.sf	-1	ctrl
BM_36_413_quant.sf	-1	ctrl
BM_36_394_quant.sf	1	exp
BM_36_302_quant.sf	1	exp
BM_36_418_quant.sf	1	exp
BM_36_465_quant.sf	1	exp
BM_36_518_quant.sf	1	exp
BM_36_400_quant.sf	-1	ctrl
BM_36_367_quant.sf	-1	ctrl
BM_36_419_quant.sf	-1	ctrl
BM_36_414_quant.sf	-1	ctrl
BM_36_448_quant.sf	-1	ctrl
BM_36_416_quant.sf	-1	ctrl
BM_36_407_quant.sf	-1	ctrl
BM_36_544_quant.sf	1	exp
BM_36_382_quant.sf	1	exp
BM_36_541_quant.sf	1	exp
BM_36_314_quant.sf	1	exp
BM_36_428_quant.sf	-1	ctrl
BM_36_344_quant.sf	-1	ctrl
BM_36_531_quant.sf	-1	ctrl
BM_36_310_quant.sf	1	exp
BM_36_464_quant.sf	1	exp
BM_36_332_quant.sf	1	exp
BM_36_505_quant.sf	1	exp
BM_36_349_quant.sf	1	exp
BM_36_348_quant.sf	1	exp
BM_36_422_quant.sf	1	exp
BM_36_412_quant.sf	-1	ctrl
BM_36_308_quant.sf	1	exp
BM_36_471_quant.sf	1	exp
BM_36_455_quant.sf	1	exp
BM_36_441_quant.sf	1	exp
BM_36_333_quant.sf	1	exp
BM_36_482_quant.sf	-1	ctrl
BM_36_432_quant.sf	1	exp
BM_36_322_quant.sf	-1	ctrl
BM_36_480_quant.sf	-1	ctrl
BM_36_430_quant.sf	-1	ctrl
BM_36_424_quant.sf	-1	ctrl
BM_36_472_quant.sf	-1	ctrl
BM_36_517_quant.sf	1	exp
BM_36_545_quant.sf	1	exp
BM_36_324_quant.sf	1	exp
BM_36_289_quant.sf	1	exp
BM_36_368_quant.sf	1	exp
BM_36_543_quant.sf	1	exp
BM_36_296_quant.sf	1	exp
BM_36_361_quant.sf	1	exp
BM_36_307_quant.sf	1	exp
BM_36_345_quant.sf	1	exp
BM_36_299_quant.sf	1	exp
BM_36_388_quant.sf	1	exp
BM_36_298_quant.sf	1	exp
BM_36_466_quant.sf	1	exp
hB_RNA_12292_quant.sf	1	exp
BM_36_509_quant.sf	-1	ctrl
BM_36_520_quant.sf	-1	ctrl
BM_36_341_quant.sf	-1	ctrl
BM_36_387_quant.sf	1	exp
BM_36_491_quant.sf	1	exp
BM_36_467_quant.sf	-1	ctrl
BM_36_483_quant.sf	-1	ctrl
BM_36_399_quant.sf	-1	ctrl
BM_36_1107_quant.sf	1	exp
BM_36_340_quant.sf	1	exp
BM_36_327_quant.sf	1	exp
BM_36_476_quant.sf	1	exp
BM_36_325_quant.sf	-1	ctrl
BM_36_336_quant.sf	-1	ctrl
BM_36_317_quant.sf	1	exp
BM_36_533_quant.sf	1	exp
BM_36_423_quant.sf	1	exp
BM_36_496_quant.sf	1	exp
BM_36_492_quant.sf	1	exp
BM_36_485_quant.sf	-1	ctrl
BM_36_429_quant.sf	-1	ctrl
BM_36_486_quant.sf	-1	ctrl
BM_36_364_quant.sf	1	exp
BM_36_305_quant.sf	1	exp
BM_36_389_quant.sf	1	exp
BM_36_320_quant.sf	1	exp
BM_36_540_quant.sf	1	exp
BM_36_539_quant.sf	1	exp
BM_36_338_quant.sf	1	exp
